fid,production
537,12650.8086892412
538,12282.0518291594
539,10868.9555434351
540,12138.3146972084
541,11568.2287442592
542,11565.8207324282
543,9408.30027409888
544,11669.4356501872
545,12558.6591982686
546,12553.41009128
547,11025.6175427511
548,12200.943650857
549,11410.4223445053
550,12066.4500427152
551,12490.0654690563
552,11158.5206428961
553,11212.3247343616
554,12392.5638015428
555,11520.0277911541
556,12325.0653245797
557,10850.3914958533
558,7804.68258081728
559,8257.03205324569
560,11538.5486458891
561,12600.7057631441
562,12006.0890469162
563,8321.45606127751
564,12354.1668548054
565,11669.4356501913
566,12611.3160502574
567,12277.3665185965
568,11177.9690007051
569,12224.7867904655
570,10412.8924799098
571,11294.3120274013
572,12264.2190489677
573,10854.6906981301
574,12532.4910326694
575,10936.9778615664
576,8206.78741293255
577,9636.18017302162
578,11010.8731075662
579,10839.6868394203
580,11650.3199907806
581,8830.58976937188
582,11601.6756484432
583,12121.4408748687
584,12581.9201930246
585,12175.6149122983
586,12187.647441998
587,11421.9313723436
588,12392.5638015385
589,12525.488904031
590,10175.8450310686
591,11532.0780294334
592,12613.8314983185
593,11834.1957015267
594,718.505803475164
595,12725.7416615981
596,12324.593515234
597,10501.3026637443
598,8747.08047964057
599,732.369491890682
600,11389.3432754721
601,733.297878701898
602,10034.4814918953
603,10013.1542198615
604,12361.1960033273
605,11488.6705966269
606,730.845309805582
607,730.845309805361
608,12149.3616385195
609,11934.0888688697
610,10885.1101884194
611,698.197251833542
612,730.524375317962
613,12129.8432487199
614,11863.9134430538
615,12048.6165853893
616,732.369491890535
617,10752.4652067803
618,733.297878701751
619,8739.56479494093
620,676.164106031671
621,13957.2548208275
622,11163.2698349789
623,535.639336653967
624,689.230443273626
625,11650.3199907806
626,9463.4264344701
627,12648.5018174965
628,708.49764273271
629,12571.8234112647
630,669.216587957127
631,12036.3562970809
632,11039.6518762758
633,710.833349246999
634,10184.7190367612
635,733.411845553859
636,696.948589334851
637,10768.222614795
638,9053.77755924362
639,11342.368094483
640,12532.4910326738
641,11520.3141854846
642,723.561110888978
643,735.674586299068
644,721.764772692645
645,14287.8886247937
646,10990.0083389706
647,676.389723549458
648,745.249806144602
649,11376.9094945997
650,11654.9863890877
651,12351.6805339488
652,11125.0394588317
653,12574.4542928043
654,9974.79564631335
655,6171.25846814067
656,738.233856086534
657,749.147556176514
658,721.162565770081
659,11460.6626412465
660,12656.235371784
661,14617.9718603543
662,17413.2597863618
663,740.598910724081
664,12072.2018720602
665,11447.4552413321
666,18007.7684756747
667,10977.7729838305
668,6705.91132640816
669,737.192483851017
670,12056.1596827094
671,11827.1717614846
672,8038.91988537274
673,732.468573129585
674,12002.6747080774
675,11625.3572099918
676,12453.3454942999
677,737.192483851017
678,729.403851066354
679,685.73156166441
680,2225.38673316549
681,13796.2809868865
682,12047.1246269686
683,11521.5588295675
684,738.089222762397
685,9479.65084323926
686,730.936212098153
687,11657.5096595768
688,9765.05679276578
689,9949.54882443989
690,734.124044792177
691,12093.5423212314
692,736.299475708936
693,14634.4281307336
694,737.192483850795
695,9878.83418474684
696,736.299475708715
697,735.410181026376
698,12000.4674626159
699,9920.35220381722
700,738.089222762397
701,738.089222762174
702,11465.2819556321
703,735.533295192889
704,738.089222762248
705,12452.9196610334
706,735.41018102645
707,11363.4814499178
708,737.192483850795
709,7535.28611108268
710,11345.5396891882
711,14412.4255085777
712,13194.1973755995
713,11381.481208795
714,689.494873157716
715,732.764406404999
716,5921.52225707709
717,15286.3194940742
718,718.473577164597
719,738.089222762397
720,734.524582612113
721,731.365337095502
722,727.121395271723
723,737.192483850795
724,14264.0747093429
725,10961.3138970515
726,733.642663390531
727,12107.1653831798
728,12044.1728473715
729,11882.0884816415
730,11869.0883848303
731,732.001904421227
732,723.614382599588
733,11803.0867926728
734,12595.4637023776
735,12220.0594432158
736,8195.76176685995
737,733.297878701898
738,12660.8246446022
739,738.089222762174
740,11947.4577866912
741,11394.6837145375
742,723.931354059045
743,2727.88232149369
744,10116.4252549695
745,12105.6990368062
746,738.089222762174
747,699.976821102587
748,7783.13204362489
749,11521.2003774546
750,9138.25147387663
751,5210.0233704908
752,12601.3037946539
753,11997.4997595324
754,11834.8642049152
755,731.018811882835
756,735.410181026376
757,11581.8115449042
758,13826.8729595252
759,732.764406404999
760,14650.9524971174
761,12022.5206140841
762,731.889794811874
763,11521.2003774586
764,12085.5519660441
765,8756.86741019693
766,12203.3356220281
767,11721.7685083217
768,732.995915426435
769,17882.9847792099
770,734.524582612187
771,11453.3642480124
772,7827.85278471552
773,9730.13497045657
774,8641.90288614472
775,9095.17258898166
776,12582.7935887658
777,12170.4544047301
778,17539.0007112721
779,15303.5799392192
780,8554.34074102095
781,12473.572118161
782,11800.4129409445
783,15447.9592657761
784,12139.7103059634
785,9980.49348273002
786,11796.8874314642
787,9694.7518336902
788,10467.8547340581
789,731.889794811801
790,11563.2014005089
791,8761.515947998
792,7676.89418447534
793,9652.23537814442
794,14408.0777583759
795,9562.44714206554
796,12051.0897401289
797,11955.9832972296
798,10279.7587790337
799,11090.0512662919
800,731.018811882908
801,12026.7760351971
802,11788.7460928297
803,8533.98108881324
804,8618.30670846298
805,11859.5164570269
806,7956.14559910471
807,9259.78374330696
